searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,query_start_year,query_end_year,query_period,lon,lat
,,,1,3,10,False,2020052700100112,00,2020,2020년  5월,3,수요일,01,주간,08,08시,4817012200,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,08,보행자보호의무위반,1056043,1689361,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,37,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,78,65세 이상,1,남,00,상해없음,98,기타,없음,01, 건조,금성초등학교 주차장 입구 횡단보도 금성초등학교  후문,,,,,20200016022003,,,0.0,0.0,,,,,,,,2020079559,,2020,2022,2020~2022,128.11564150499854,35.198014387009074
,,,1,3,10,False,2020060500100124,00,2020,2020년  6월,5,금요일,01,주간,08,08시,4817010900,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1053129,1689074,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,56,51-60세,2,여,500,보행자,500,보행자,200,부상,220,경상,70,65세 이상,1,남,00,상해없음,14,우측 발,없음,01, 건조,이마트24진주대안점 앞 횡단보도,,107,0,진주대로,20200017072003,,,0.0,0.0,,,,,,,,2020085205,,2020,2022,2020~2022,128.08361374827732,35.19558510562145
,,,1,3,10,False,2020061500100201,00,2020,2020년  6월,1,월요일,01,주간,10,10시,4817033025,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1061963,1681036,01,맑음,115,교차로 - 교차로횡단보도내,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,130,화물,998,기타,998,기타불명,66,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,85,65세 이상,1,남,00,상해없음,17,좌측 손,없음,01, 건조,경상남도 진주시 월아산로479번길 2 신담마을 버스정류장 앞 횡단보도,,106,1009,지방도1009호선,20200018592003,,,0.0,0.0,,,,,,,,2020091684,,2020,2022,2020~2022,128.18004472972333,35.12260341202769
,,,1,3,10,False,2020061800100081,00,2020,2020년  6월,4,목요일,01,주간,06,06시,4817011700,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1053522,1688975,03,비,299,단일로 - 기타,N,02,중상사고,0,2,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,69,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,77,65세 이상,1,남,00,상해없음,03,앞면 가슴,없음,02, 젖음/습기,경상남도 진주시 진양호로 556-1 진주농약 앞,,,,,20200018962003,,,0.0,0.0,,,,,,,,2020093506,,2020,2022,2020~2022,128.0879241585971,35.19467157334178
,,,1,3,10,False,2020061900100091,00,2020,2020년  6월,5,금요일,01,주간,07,07시,4817012500,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1051821,1687317,03,비,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,998,기타,998,기타불명,998,기타,998,기타불명,999,기타불명,8,기타불명,500,보행자,500,보행자,200,부상,220,경상,81,65세 이상,2,여,00,상해없음,10,우측 팔,없음,02, 젖음/습기,세진회수산 앞,,,,,20200019212003,,,0.0,0.0,,,,,,,,2020094136,,2020,2022,2020~2022,128.0691357354023,35.17981112659481
,,,1,3,10,False,2020062000100152,00,2020,2020년  6월,6,토요일,01,주간,09,09시,4817010600,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1053223,1688787,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,67,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,81,65세 이상,2,여,00,상해없음,13,우측 하퇴부,없음,01, 건조,앞 횡단보도,,107,0,진양호로,20200024072003,,,0.0,0.0,,,,,,,,2020094909,,2020,2022,2020~2022,128.0846277355496,35.1929923375299
,,,1,3,10,False,2020062300100057,00,2020,2020년  6월,2,화요일,01,주간,06,06시,4817011900,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1056469,1687372,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,62,61-64세,2,여,500,보행자,500,보행자,200,부상,210,중상,78,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,상대지구대 앞 횡단보도,,,,,20200019522003,,,0.0,0.0,,,,,,,,2020096667,,2020,2022,2020~2022,128.12018465122264,35.1800564289599
,,,1,3,10,False,2020062400100309,00,2020,2020년  6월,3,수요일,01,주간,14,14시,4817010400,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,06,안전운전불이행,1053671,1687608,03,비,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,58,51-60세,2,여,500,보행자,500,보행자,200,부상,220,경상,66,65세 이상,2,여,00,상해없음,13,우측 하퇴부,없음,02, 젖음/습기,미르치과 앞 횡단보도 부근,,107,0,진주대로,20200020462003,,,0.0,0.0,,,,,,,,2020097576,,2020,2022,2020~2022,128.08947177864485,35.18233781209999
,,,1,3,10,False,2020062500100512,00,2020,2020년  6월,4,목요일,02,야간,20,20시,4817012600,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1050312,1685751,03,비,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,54,51-60세,1,남,500,보행자,500,보행자,200,부상,220,경상,71,65세 이상,2,여,00,상해없음,98,기타,없음,02, 젖음/습기,엠코슈퍼마켓 앞 횡단보도,,,,,20200020292003,,,0.0,0.0,,,,,,,,2020098437,,2020,2022,2020~2022,128.052467971466,35.16576761234159
,,,1,3,10,False,2020070300100564,00,2020,2020년  7월,5,금요일,02,야간,20,20시,4817012000,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1056629,1688673,03,비,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,160,원동기,300,상해없음,300,상해없음,18,20세 이하,1,남,500,보행자,500,보행자,200,부상,210,중상,75,65세 이상,2,여,00,상해없음,19,좌측 하퇴부,없음,02, 젖음/습기,드림문고 앞 횡단보도,,,,,20200020932003,,,0.0,0.0,,,,,,,,2020103276,,2020,2022,2020~2022,128.12203118438532,35.19177805675955
